date,close,open,high,low,ma20,ma60,ret_1d,ret_5d,ret_20d,rolling_high_20d,drawdown_20d,close_vs_ma20_score,ma20_vs_ma60_score,return_5d_score,return_20d_score,drawdown_20d_score,price_trend_score_raw,price_trend_score,price_trend_label
2025-03-21,6258.18,6418.39,6426.17,6218.6,,,,,,,,,,,,,,,Breakdown
2025-03-24,6161.22,6242.23,6269.9,5967.19,,,-0.015493322339721782,,,,,,,,,,,,Breakdown
2025-03-25,6235.62,6197.99,6265.3,6178.49,,,0.01207553049558352,,,,,,,,,,,,Breakdown
2025-03-26,6472.36,6314.33,6489.15,6312.97,,,0.037965751601284126,,,,,,,,,,,,Breakdown
2025-03-27,6510.62,6462.6,6510.62,6417.24,,,0.005911290472099928,,,,,,,,,,,,Breakdown
2025-04-08,5996.14,5914.29,6036.55,5882.6,,,-0.07902165999551491,-0.0418715984519461,,,,,,29.06420077402695,,,,,Breakdown
2025-04-09,5967.99,5978.44,6092.41,5949.6,,,-0.00469468691524888,-0.03136229512986077,,,,,,34.318852435069616,,,,,Breakdown
2025-04-10,6254.02,6270.61,6310.83,6188.67,,,0.04792735912761259,0.0029507891757356575,,,,,,53.918012964228176,,,,,Breakdown
2025-04-11,6262.23,6195.57,6298.78,6148.78,,,0.0013127556355749803,-0.032465746651916816,,,,,,33.76712667404159,,,,,Breakdown
2025-04-14,6368.52,6225.34,6404.07,6225.34,,,0.01697318686793703,-0.021825878334167825,,,,,,39.08706083291609,,,,,Breakdown
2025-04-15,6441.68,6444.34,6497.53,6395.93,,,0.011487755396858201,0.07430446920852418,,,,,,97.15223460426209,,,,,Breakdown
2025-04-16,6400.05,6461.27,6469.6,6373.79,,,-0.006462599818680803,0.07239623390789873,,,,,,96.19811695394937,,,,,Breakdown
2025-04-17,6438.27,6407.02,6438.27,6384.29,,,0.005971828345091135,0.0294610506522206,,,,,,71.3073671014804,,,,,Breakdown
2025-04-21,6445.97,6450.31,6472.54,6406.8,,,0.00119597345249578,0.0293409855594573,,,,,,71.22732370630487,,,,,Breakdown
2025-04-22,6538.27,6455.08,6538.32,6428.1,,,0.01431902413445929,0.026654544540960945,,,,,,69.4363630273073,,,,,Breakdown
2025-04-23,6634.38,6589.33,6642.92,6588.26,,,0.014699607082607535,0.029914556451112073,,,,,,71.60970430074138,,,,,Breakdown
2025-04-24,6613.48,6671.07,6697.9,6585.46,,,-0.0031502566931650433,0.03334817696736736,,,,,,73.89878464491157,,,,,Breakdown
2025-04-25,6678.92,6660.62,6683.36,6640.78,,,0.009894941846047889,0.037378053421182944,,,,,,76.5853689474553,,,,,Breakdown
2025-04-28,6722.97,6716.21,6738.35,6688.78,,,0.006595377695795213,0.042972585972320676,,,,,,80.31505731488045,,,,,Breakdown
2025-04-29,6749.08,6748.99,6763.89,6724.32,6407.4985,,0.003883700209877494,0.032242473926588966,,6763.89,-0.002189568428818345,91.10321654126545,,73.16164928439264,,97.81043157118165,,,Breakdown
2025-04-30,6766.79,6755.46,6791.25,6725.97,6432.929000000001,,0.0026240613535475354,0.019958157356075423,0.08127123221128185,6791.25,-0.0036016933554205988,90.6329180170753,,64.97280228144902,85.4767120792307,96.3983066445794,,,Breakdown
2025-05-02,6815.73,6811.11,6818.28,6765.83,6465.654500000001,,0.007232380493557455,0.03058147903977937,0.10623058420247933,6818.28,-0.00037399461447762405,91.38128707619616,,72.05431935985291,94.83646907592976,99.62600538552238,,,Breakdown
2025-05-05,6831.95,6844.37,6879.11,6824.4,6495.471,,0.0023797891054957443,0.022912387032633985,0.09563283201991135,6879.11,-0.006855537998374794,90.6006980350873,,66.94159135508933,90.86231200746676,93.1444620016252,,,Breakdown
2025-05-06,6898.2,6860.45,6913.69,6858.15,6516.763,,0.009697085019650276,0.026064373334999225,0.06579362087399354,6913.69,-0.0022404822894864784,92.84388890619466,,69.04291555666614,79.31744834959741,97.75951771051352,,,Breakdown
2025-05-07,6926.23,6925.25,6970.5,6909.96,6537.5435,,0.004063378852454225,0.026248021952621547,0.06383570228334623,6970.5,-0.006351050857183904,93.15150611744816,,69.16534796841437,78.53428091333849,93.6489491428161,,,Breakdown
2025-05-08,6827.75,6945.98,6965.93,6824.65,6579.124000000001,,-0.014218413191591894,0.00900870279704269,0.1386908911399667,6970.5,-0.020479162183487554,83.8950687051953,,57.85565681807775,100.0,82.14062836238433,,,Breakdown
2025-05-09,6832.8,6849.45,6882.32,6811.77,6622.364500000001,,0.0007396287210281738,0.002504500618422556,0.14490808463150917,6970.5,-0.019754680438992867,80.88824505205044,,53.627925401974665,100.0,82.68398967075535,,,Breakdown
2025-05-14,6979.88,6915.96,6987.78,6914.75,6658.657499999999,,0.02152558248448666,0.021652676029537687,0.11606294831164599,6987.78,-0.0011305450371934533,89.12066546447244,,66.10178401969179,98.52360561686724,98.86945496280654,,,Breakdown
2025-05-15,7040.16,7003.15,7076.74,7002.37,6697.553999999999,,0.008636251626102487,0.020579281551709183,0.12422571512065206,7076.74,-0.005169046764470608,90.38463295704673,,65.38618770113945,100.0,94.83095323552939,,,Breakdown
2025-05-16,7106.53,7092.23,7106.53,7009.85,6734.4545,,0.009427342560396346,0.026031477441551987,0.11588406725581435,7106.53,0.0,91.74984600955183,,69.02098496103466,98.45652522093039,100.0,,,Breakdown
2025-05-19,7141.09,7113.44,7160.66,7085.97,6769.425,,0.004863132921411717,0.04589213137563619,0.10857571316799342,7160.66,-0.0027329882999611588,91.63449382086857,,82.26142091709079,95.71589243799752,97.26701170003884,,,Breakdown
2025-05-20,7094.6,7164.15,7202.82,7088.62,6804.152499999999,,-0.006510210626108903,0.03831518557545954,0.10852258966726835,7202.82,-0.015024670892789138,86.34340022508319,,77.21012371697303,95.69597112522564,86.23149683040815,,,Breakdown
2025-05-21,7142.46,7114.7,7170.72,7109.22,6839.362000000001,,0.006745975812589844,0.023292664057261714,0.1093756552614289,7202.82,-0.008380051146634204,87.15835336687832,,67.19510937150781,96.01587072303583,91.6199488533658,,,Breakdown
2025-05-22,7166.98,7165.1,7190.67,7136.78,6875.4125,,0.0034329908742924964,0.01801379514101953,0.11185438343647269,7202.82,-0.004975828911454094,86.20363687269666,,63.70896684166269,96.94539378867726,95.0241710885459,,,Breakdown
