date,foreign_net,market_value_raw,market_value_negative_flag,market_value,broker_pulse_score,foreign_net_1d,foreign_net_5d,foreign_net_20d,market_value_1d,total_market_value_5d,total_market_value_20d,avg_market_value_20d,positive_foreign_flow_days_5d,foreign_intensity_1d,foreign_intensity_5d,foreign_intensity_20d,liquidity_ratio_5d_vs_20d_avg,foreign_flow_1d_score,foreign_flow_5d_score,foreign_flow_20d_score,foreign_flow_trend_score,flow_consistency_score,liquidity_confirmation_score,broker_pulse_score_clean,flow_score,flow_label
2026-07-07,-176.85,10385.0,False,10385.0,,-176.85,-176.85,-176.85,10385.0,10385.0,10385.0,10385.0,0.0,-0.017029369282619163,-0.017029369282619163,-0.017029369282619163,0.2,27.970630717380836,27.970630717380836,27.970630717380836,27.970630717380836,10,15.0,,19.0,Heavy Outflow
2026-07-08,-689.8,10541.0,False,10541.0,,-689.8,-866.65,-866.65,10541.0,20926.0,20926.0,10463.0,0.0,-0.06543971160231477,-0.04141498614164198,-0.04141498614164198,0.4,5.0,9.292506929179012,9.292506929179012,8.43400554334321,10,22.5,,13.0,Heavy Outflow
2026-07-09,-259.36,12076.0,False,12076.0,,-259.36,-1126.01,-1126.01,12076.0,33002.0,33002.0,11000.666666666666,0.0,-0.021477310367671417,-0.03411944730622386,-0.03411944730622386,0.6000000000000001,23.522689632328582,12.94027634688807,12.94027634688807,15.056759003976172,10,37.50000000000001,,20.0,Heavy Outflow
2026-07-10,-284.4,8860.0,False,8860.0,,-284.4,-1410.4099999999999,-1410.4099999999999,8860.0,41862.0,41862.0,10465.5,0.0,-0.032099322799097066,-0.03369189240838947,-0.03369189240838947,0.8,13.950338600451467,13.154053795805265,13.154053795805265,13.313310756734506,10,52.5,,23.0,Heavy Outflow
2026-07-13,-437.65,12147.0,False,12147.0,,-437.65,-1848.06,-1848.06,12147.0,54009.0,54009.0,10801.8,0.0,-0.03602947229768667,-0.034217630394934175,-0.034217630394934175,1.0,11.985263851156667,12.891184802532912,12.891184802532912,12.710000612257662,10,70.0,,28.0,Heavy Outflow
2026-07-15,-160.43,11690.0,False,11690.0,,-160.43,-1831.64,-2008.49,11690.0,55314.0,65699.0,10949.833333333334,0.0,-0.013723695466210438,-0.0331134974870738,-0.03057108936209075,1.0103167475912875,31.531565440547475,13.443251256463101,14.714455318954624,17.442275312027434,10,70.77375606934656,,30.0,Heavy Outflow
