date,market_stress_composite,macro_stress,flow_internal_stress
2026-06-08,50.0,50.0,50.0
2026-06-09,50.0,50.0,50.0
2026-06-10,50.0,50.0,50.0
2026-06-11,50.0,50.0,50.0
2026-06-12,50.0,50.0,50.0
2026-06-15,50.0,50.0,50.0
2026-06-17,50.0,50.0,50.0
2026-06-18,50.0,50.0,50.0
2026-06-19,50.0,50.0,50.0
2026-06-22,50.0,50.0,50.0
2026-06-23,50.0,50.0,50.0
2026-06-24,50.0,50.0,50.0
2026-06-25,50.0,50.0,50.0
2026-06-26,50.0,50.0,50.0
2026-06-29,50.0,50.0,50.0
2026-06-30,50.0,50.0,50.0
2026-07-01,50.0,50.0,50.0
2026-07-02,50.0,50.0,50.0
2026-07-03,50.0,50.0,50.0
2026-07-06,50.40221634341785,50.0,50.68951373157345
2026-07-07,50.8039018416526,50.0,51.37811744283303
