date,flow_momentum_v2_score,flow_exhaustion_score,reversal_probability
2025-01-02,50.0,6.333333333333334,76.2
2025-01-03,50.0,7.666666666666668,75.4
2025-01-06,50.0,9.000000000000002,74.6
2025-01-07,50.0,10.333333333333334,73.80000000000001
2025-01-08,47.6,11.666666666666666,72.03999999999999
2025-01-09,48.5,5.0,76.4
2025-01-10,49.56066017177982,6.333333333333334,76.02426406871193
2025-01-13,49.80137206273031,7.666666666666668,75.32054882509212
2025-01-14,46.560573107530374,9.000000000000002,73.22422924301215
2025-01-15,52.00064881154825,5.0,77.8002595246193
2025-01-16,54.642008723580815,5.0,78.85680348943232
2025-01-17,56.004124078823914,5.0,79.40164963152957
2025-01-20,54.336963408554425,6.333333333333334,77.93478536342178
2025-01-21,59.14037537728016,7.666666666666668,79.05615015091206
2025-01-22,46.45402506953477,5.0,75.58161002781391
2025-01-23,42.753727235686,3.2322330470336316,75.16215106605422
2025-01-24,38.56220331699911,8.431727879497881,70.36584459910091
2025-01-30,38.55117809805746,13.611430480871206,67.25361295070026
2025-01-31,42.41538857095461,4.780319686103426,74.0979636167198
2025-02-03,44.67797708684854,12.303591967868051,70.4890356540186
2025-02-04,45.12895464425149,27.820411735623875,61.35933481632627
2025-02-05,53.400251397350274,28.66252729685423,64.16258418082758
2025-02-06,49.40998494353421,42.245569762038535,54.41665212019056
2025-02-07,41.472396219379135,45.8104963393091,49.102660684166196
2025-02-10,39.61777492453804,55.62433451180895,42.47250926272985
2025-02-11,38.59098461732677,57.65088305498545,40.84586401393944
2025-02-12,38.947491685291716,48.96736508813094,46.19857762123812
2025-02-13,40.895266021014734,49.05625858162477,46.924351259431035
2025-02-14,46.46682860111145,56.11271417326764,44.919102936483995
2025-02-17,60.71514739290959,24.092806941866478,69.83037479204395
2025-02-18,63.48539992455659,26.411631372121665,69.54718114654963
2025-02-19,55.043228055182446,38.653862393508135,58.8249737859681
2025-02-20,53.42608654329143,38.73324756716268,58.130486077018965
2025-02-21,55.17671107053784,38.14113315219168,59.18600453690013
2025-02-24,36.295837189190564,46.96416498548709,46.33983588438397
2025-02-25,25.219647379071127,63.3497178916113,32.07802821666167
2025-02-26,32.0062849067685,56.185202360293395,39.09139254653137
2025-02-27,29.26490342051572,62.77217002185049,34.04265935509599
2025-02-28,22.124862965284493,75.38671698139584,23.617914997276294
2025-03-03,37.2666828839124,56.874974927714874,40.78168819693604
2025-03-04,51.54826660534369,46.81963721209614,52.52752431487979
2025-03-05,55.193005284759195,38.011509479812354,59.270296426016266
2025-03-06,66.63931888070184,25.919117234582846,71.10425721153103
2025-03-07,75.50037366784623,26.54787583508711,74.27142396608622
2025-03-10,64.46402769055719,27.48830929818691,69.29262549731072
2025-03-11,56.21126240021108,24.235512690221608,67.94319734595146
2025-03-12,53.964164983385565,17.4053522881964,71.14245462043638
2025-03-13,43.89111656948511,16.63237328193412,67.57702265863358
2025-03-14,34.01276416086205,20.03513044423912,61.58402739780135
2025-03-17,36.06664868410432,29.220893321716,56.89412348061212
2025-03-18,32.3229827686517,50.93246415662581,42.369714613485186
2025-03-19,30.689417504520836,54.142357384480356,39.790352571120124
2025-03-20,35.44411576067015,55.392669395610326,40.942044666901865
2025-03-21,37.90764963022106,64.11682007172092,36.69296780905587
2025-03-24,39.45092109524832,57.740566191649954,41.136028723109355
2025-03-25,54.2379473126854,30.964633700359762,63.1163987048583
2025-03-26,61.853971193355406,25.754907261783856,69.28864412027184
2025-03-27,65.97136919887758,16.878495720449287,76.26145024728146
2025-04-08,69.65444290089094,11.333333333333334,81.06177716035639
